payment_id,payment_order_id,payment_amount,payment_fee,payment_method,payment_status
4427917,68410055,118.44,0,VOUCHER,PAID
4427918,68410055,394.81,7.9,ONLINE,PAID
4427941,68412721,206.95,5.59,ONLINE,PAID
4427948,68413340,58.8,1.59,ONLINE,PAID
4427955,68414018,45.8,0.92,ONLINE,PAID
4427956,68414309,106.8,2.88,ONLINE,PAID
4427961,68414512,57.8,1.56,ONLINE,PAID
4427963,68414563,26.9,0.4,ONLINE,PAID
4427975,68415103,115.5,3.12,ONLINE,PAID
4427976,68415140,199.3,5.38,ONLINE,PAID
4427980,68415344,95.3,2.57,ONLINE,PAID
4427983,68415457,148.7,4.01,ONLINE,PAID
4427988,68415474,170.2,4.6,ONLINE,PAID
4427989,68415543,19.9,0.3,ONLINE,PAID
4427990,68415543,5,0,VOUCHER,PAID
4427997,68415947,25.9,0.52,ONLINE,PAID
4427999,68416059,175.2,4.73,ONLINE,PAID
4428001,68416226,31.4,0.63,ONLINE,PAID
4428002,68416227,25.9,0.52,ONLINE,PAID
4428003,68416230,46.79,0.7,ONLINE,PAID
4428010,68416397,29,0.58,ONLINE,PAID
4428013,68416643,46.8,0.7,ONLINE,PAID
4428031,68417307,41.9,0.63,ONLINE,PAID
4428033,68417497,28,0.56,ONLINE,PAID
4428036,68417778,32.4,0.65,ONLINE,PAID
4428039,68417787,72.9,1.09,ONLINE,PAID
4428040,68417787,5,0,VOUCHER,PAID
4428041,68417799,31,0.62,ONLINE,PAID
4428046,68418089,75.9,2.05,ONLINE,PAID
4428049,68418092,47.8,0.96,ONLINE,PAID
4428054,68418430,217.4,5.87,ONLINE,PAID
4428058,68418711,78.9,1.18,ONLINE,PAID
4428063,68419091,99.25,2.68,ONLINE,PAID
4428065,68419094,85.6,1.28,ONLINE,PAID
4428066,68419140,112.2,3.03,ONLINE,PAID
4428067,68419146,10,0,VOUCHER,PAID
4428069,68419302,33.39,0.5,ONLINE,PAID
4428070,68419302,12,0,VOUCHER,PAID
4428071,68419305,202.4,5.46,ONLINE,PAID
4428072,68419373,167.2,4.51,ONLINE,PAID
4428079,68419684,24.9,0.37,ONLINE,PAID
4428080,68419684,10,0,VOUCHER,PAID
4428081,68419797,128.9,3.48,ONLINE,PAID
4428083,68419848,168.7,4.55,ONLINE,PAID
4428084,68420053,127.05,3.43,ONLINE,PAID
4428085,68420053,20,0,VOUCHER,PAID
4428087,68420308,81.8,2.21,ONLINE,PAID
4428093,68420589,47.8,0.72,ONLINE,PAID
4428094,68420589,12,0,VOUCHER,PAID
4428095,68420592,62.7,0.94,ONLINE,PAID
4428097,68420776,5,0,VOUCHER,PAID
4428099,68420869,246.5,6.66,ONLINE,PAID
4428101,68421071,61.8,1.24,ONLINE,PAID
4428110,68421547,13.9,0.21,ONLINE,PAID
4428111,68421547,12,0,VOUCHER,PAID
4428112,68421551,35.8,0.54,ONLINE,PAID
4428120,68421917,20.9,0.42,ONLINE,PAID
4428124,68421987,104.25,2.81,ONLINE,PAID
4428128,68422045,51.7,0.78,ONLINE,PAID
4428130,68422076,24.8,0.37,ONLINE,PAID
